([14, 45, 72, 64, 69, 74, 81, 34, 5, 18, 20, 72, 19, 4, 1, 53, 81, 95, 50, 77, 83, 46, 14, 53, 23, 29, 7, 88, 26, 72, 65, 55, 93, 70, 89, 1, 98, 20, 17, 92, 85, 26, 97, 60, 13, 79, 41, 28, 39, 45], [0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1], 2)
([34, 41, 84, 11, 82, 40, 40, 48, 46, 60, 98, 22, 43, 31, 96, 71, 12, 64, 62, 71, 84, 52, 30, 47, 35, 1, 77, 2, 79, 55, 81, 39, 84, 51, 47, 38, 54, 22, 29, 92, 75, 11, 40, 32, 74, 18, 1, 19, 66, 93], [0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0], 2)
([9, 79, 59, 55, 71, 66, 1, 48, 47, 82, 42, 1, 21, 26, 7, 61, 21, 96, 94, 18, 90, 98, 25, 91, 47, 52, 81, 56, 36, 9, 24, 53, 49, 88, 66, 11, 91, 6, 4, 46, 53, 82, 82, 73, 22, 28, 32, 44, 54, 3], [1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1], 2)
([40, 82, 69, 47, 90, 60, 5, 1, 98, 52, 56, 76, 30, 75, 47, 68, 91, 2, 48, 54, 26, 33, 37, 82, 97, 43, 94, 63, 16, 88, 88, 13, 60, 10, 84, 47, 90, 21, 21, 29, 48, 92, 17, 64, 57, 16, 58, 60, 43, 13], [1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1], 1)
([29, 12, 68, 87, 4, 91, 88, 49, 93, 67, 60, 6, 67, 12, 5, 70, 52, 96, 48, 62, 89, 88, 32, 23, 68, 67, 89, 87, 59, 42, 83, 24, 27, 87, 44, 25, 78, 86, 32, 74, 50, 71, 81, 6, 7, 21, 57, 33, 98, 82], [0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1], 0)
([56, 97, 28, 74, 19, 92, 15, 26, 52, 80, 85, 13, 66, 23, 79, 52, 28, 82, 48, 78, 9, 80, 81, 72, 63, 67, 49, 50, 72, 80, 55, 91, 76, 59, 70, 25, 20, 73, 54, 7, 60, 94, 36, 38, 99, 85, 76, 55, 2, 56], [1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1], 1)
([81, 9, 42, 40, 99, 72, 78, 4, 53, 99, 82, 60, 25, 5, 3, 99, 83, 69, 98, 76, 88, 53, 26, 79, 35, 57, 52, 43, 14, 60, 43, 54, 35, 34, 32, 55, 69, 76, 3, 88, 2, 42, 14, 2, 41, 83, 48, 9, 67, 45], [0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0], 0)
([38, 93, 37, 34, 92, 86, 90, 86, 47, 95, 61, 32, 17, 61, 57, 68, 59, 65, 27, 1, 11, 25, 98, 76, 90, 39, 62, 83, 60, 68, 86, 6, 42, 91, 84, 20, 38, 69, 69, 22, 3, 57, 25, 86, 52, 63, 64, 91, 65, 45], [1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0], 0)
([84, 10, 93, 93, 60, 90, 96, 54, 87, 60, 17, 47, 67, 14, 16, 63, 44, 61, 56, 47, 61, 59, 59, 40, 22, 5, 3, 42, 55, 3, 36, 10, 24, 2, 12, 57, 13, 21, 59, 78, 25, 58, 96, 61, 33, 98, 8, 37, 75, 46], [1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1], 1)
([46, 62, 91, 49, 30, 5, 84, 51, 43, 88, 14, 56, 72, 32, 20, 97, 89, 78, 71, 87, 41, 23, 80, 90, 94, 94, 46, 5, 25, 58, 97, 51, 95, 1, 38, 39, 71, 23, 25, 83, 86, 95, 55, 95, 37, 10, 7, 94, 44, 3], [1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0], 2)
